#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
-13.417602,31,17.649481
-12.102275,27,17.667664
-13.944928,30,17.687021
-15.224023,31,17.70712
-15.524701,32,17.727927
-12.00416,35,18.355285
-9.791863,32,18.37749
-17.797342,33,18.399081
41.878261,41,18.425147
-5.2531,23,18.442996
-12.886448,34,18.4657
-9.440156,37,18.489974
-7.732179,26,18.508964
-9.469615,34,18.531441
-17.795902,42,18.557559
-9.870286,31,18.578168
-17.515784,30,18.598206
-9.582748,32,18.619794
-9.228493,31,18.640683
-11.196905,27,18.659983
-13.577925,41,18.685487
-8.033322,27,18.704551
-12.756088,35,18.730342
-21.33171,35,18.752263
-15.763381,30,18.772968
43.895756,31,18.794515
-12.069064,32,18.816834
-11.071693,28,18.836692
-13.764323,33,18.858518
44.836494,27,18.878771
44.366129,28,18.898891
-15.289107,36,18.92241
-14.397907,40,18.946576
-6.346524,30,18.967104
46.452663,23,18.983721
-15.045476,32,19.004696
-19.465167,39,19.03318
-19.127282,47,19.06375
-19.576707,42,19.089919
-17.326451,33,19.111797
-17.291532,39,19.136675
-15.012952,40,19.161637
-18.29114,40,19.185735
-13.376777,25,19.202748
-11.964569,38,19.22566
44.444357,28,19.243498
-8.529382,33,19.264064
-7.219046,27,19.281895
-15.000772,33,19.302937
-10.022655,30,19.322546
-6.920175,27,19.340523
45.796843,27,19.359009
-8.9222,32,19.381333
43.532588,42,19.413982
-19.980776,43,19.440363
-17.963776,38,19.464112
44.563313,31,19.485317
-14.668735,31,19.506438
-17.827685,44,19.533729
-17.600207,49,19.563399
-6.574784,27,19.581406
-15.824425,44,19.611245
-11.539912,40,19.639699
-7.483617,28,19.659536
-8.645512,28,19.679263
-16.371974,30,19.700795
-18.277083,32,20.302034
-14.568882,36,20.325767
-13.097941,26,20.344735
-15.60697,28,20.364622
-8.863012,26,20.38524
-17.132113,38,20.410813
-16.255429,33,20.432264
-8.103676,25,20.449828
-17.467258,40,20.474756
-11.629797,29,20.494313
-17.756052,30,20.514392
-11.179052,32,20.535761
-19.813852,37,20.559292
-15.236128,31,20.579422
-10.358457,32,20.599888
-10.879023,46,20.627718
-12.327348,37,20.653606
-9.202354,38,20.676354
46.341401,22,20.692138
44.917304,25,20.709085
-7.019441,23,20.725339
-12.409107,43,20.749946
-8.297635,24,20.770024
-21.054517,33,20.794118
44.06539,35,20.817792
-17.820424,38,20.840909
-15.789017,43,20.866016
-19.02196,34,20.889492
-10.283875,36,20.91252
-8.995638,28,20.931884
-13.463998,33,20.953757
-8.40158,27,20.972391
-12.68689,27,20.991165
-15.218834,29,21.010636
43.44827,32,21.031505
-9.282153,40,21.056353
-10.890783,34,21.077335
-9.784631,26,21.094696
-12.441683,30,21.114201
-18.4974,35,21.135651
-15.302732,38,21.159224
-12.225592,30,21.178874
44.199139,29,21.198412
44.000191,31,21.218742
-16.544573,33,21.23891
43.653105,29,21.25791
43.839803,30,21.277881
-9.350901,30,21.303046
-16.518561,40,21.328222
-17.327876,35,21.352582
-9.945515,37,21.379536
-10.57527,35,21.40317
-8.23676,31,21.424381
-17.172063,38,21.448207
-14.457171,30,21.468599
-18.404174,33,21.49062
-16.078644,40,21.515658
-16.747764,43,21.541963
-18.847927,34,21.563492
-6.383882,27,21.581187
-17.382278,29,21.600525
44.027451,29,21.619411
44.57805,29,21.638187
-10.354108,41,22.256258
-17.055928,28,22.278135
-10.302865,31,22.302317
-10.211379,28,22.325666
-15.988332,34,22.352009
-8.567195,30,22.374769
-9.894254,23,22.392776
-8.930008,24,22.411503
-20.728787,41,22.437588
44.950941,29,22.458254
44.467007,31,22.480015
-7.414888,29,22.500963
-19.268309,37,22.525739
-6.744007,31,22.547753
-8.109768,32,22.569684
-14.236478,32,22.598157
-9.189857,33,22.625623
-9.555194,32,22.648247
-8.559661,28,22.669121
-8.445973,34,22.692571
-12.557635,32,22.715385
-9.941102,31,22.737405
-13.201847,30,22.75856
44.947015,28,22.778845
-9.330639,33,22.801416
-10.55254,27,22.82207
-18.455297,35,22.845818
-11.427787,30,22.866761
-8.553147,27,22.887449
-8.420662,27,22.907271
-6.708874,25,22.92554
-15.445928,32,22.9481
43.807633,40,22.973888
44.471768,29,22.994854
-8.682585,28,23.014973
44.523054,28,23.034808
-13.879934,33,23.057696
-17.793212,35,23.081338
-7.962672,26,23.100067
-19.269708,34,23.122792
-6.671977,29,23.143434
-15.124036,31,23.164992
-8.463698,25,23.183653
-13.308505,32,23.210527
45.749369,23,23.229208
-10.708109,34,23.252379
-10.531438,35,23.275452
-9.372824,29,23.295389
-8.309543,26,23.317237
-19.656316,43,23.344859
-16.698582,38,23.369579
-16.533569,33,23.393491
-7.474521,28,23.413893
-13.208342,32,23.435684
-10.692242,30,23.456402
44.096352,29,23.476554
-12.841254,31,23.49761
