#{"t_start": 1649568369.999021, "env_id": "SimpleDriving-v0"}
r,l,t
-6.288972,1,4.688017
-6.651539,1,4.695385
-5.530377,1,4.702796
-4.025798,1,4.71108
-6.638905,1,4.718662
-3.336559,1,4.726459
-6.806082,1,4.734601
-4.059851,1,4.743865
-4.543073,1,4.752128
-4.461196,1,4.760437
-5.421891,1,4.768555
-6.714659,1,4.776679
-3.261233,1,4.784954
-3.542128,1,4.793288
-4.58878,1,4.801595
-5.921691,1,4.809551
-4.484982,1,4.818274
-4.584993,1,4.826313
-3.011303,1,4.834618
-5.821006,1,4.842583
-5.874933,1,4.850994
-5.984908,1,4.858982
-4.007014,1,4.867156
-3.772715,1,4.875131
-6.80277,1,4.883371
-3.881791,1,4.891559
-6.549261,1,4.900425
-6.995838,1,4.91013
-5.050236,1,4.919197
-3.940586,1,4.928657
-3.125339,1,4.937008
-4.06516,1,4.945345
-6.694284,1,4.953441
-6.658367,1,4.961426
-4.575837,1,4.969555
-3.002338,1,4.977667
-4.496237,1,4.985626
-6.685659,1,4.993405
-5.517317,1,5.00084
-5.118716,1,5.008362
-6.728775,1,5.016009
-6.834497,1,5.023558
-3.208855,1,5.030966
-3.045355,1,5.038288
-3.717985,1,5.045482
-5.130901,1,5.052692
-5.345652,1,5.060026
-4.950409,1,5.067457
-6.128603,1,5.074735
-4.620718,1,5.082274
-4.676516,1,5.089408
-4.432138,1,5.096527
-5.423424,1,5.103739
-4.460028,1,5.110899
-4.449959,1,5.117957
-4.931033,1,5.125049
-3.026081,1,5.13211
-3.519259,1,5.138445
-6.675225,1,5.144713
-3.963509,1,5.150818
-6.4426,1,5.156916
-5.609009,1,5.163109
-4.690392,1,5.169207
-3.978401,1,5.175308
-6.047207,1,5.181397
-5.155256,1,5.187497
-3.26854,1,5.193601
-4.373603,1,5.199689
-3.499564,1,5.205785
-3.239763,1,5.211873
-5.61636,1,5.21797
-3.498984,1,5.224321
-5.446898,1,5.23024
-4.030644,1,5.236155
-5.932624,1,5.242058
-4.390252,1,5.248163
-3.034966,1,5.254127
-3.200467,1,5.260064
-5.035758,1,5.265971
-4.651666,1,5.271869
-4.356468,1,5.277752
-4.086489,1,5.283743
-5.662977,1,5.289643
-6.567198,1,5.29549
-3.210404,1,5.301331
-6.396589,1,5.307236
-6.697455,1,5.313195
-4.674736,1,5.319047
-6.776742,1,5.32518
-5.153649,1,5.331815
