#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
-18.16573,39,26.156176
-26.010938,57,26.187586
35.936117,42,26.212043
-18.676581,48,26.238653
-22.240745,51,26.266576
35.82422,41,26.290573
-16.381449,38,26.313642
-25.78846,48,26.341275
35.14017,43,26.952558
-21.791059,44,26.977792
37.363883,36,26.999675
32.580022,51,27.029524
36.311314,36,27.052585
-21.445398,51,27.080812
-25.561828,52,27.109999
-17.420336,34,27.131502
-24.771425,50,27.165948
-18.950305,45,27.194476
-21.66,46,27.222332
-21.373536,45,27.248605
-14.692158,36,27.270467
37.005276,38,27.293157
-19.41824,36,27.314299
-19.702265,43,27.337787
-15.544321,40,27.359909
36.441883,38,27.381331
-18.569835,46,27.406495
-23.696066,64,27.440416
34.409554,44,27.464537
32.66821,53,27.492556
-26.417054,65,27.528259
-22.567884,49,27.559247
-15.510282,39,27.583064
-22.540105,48,27.610868
-16.089637,42,27.636198
-21.455936,53,27.666817
37.270061,37,27.690014
34.956096,48,27.717506
36.397685,41,27.747375
33.369371,47,27.777335
35.956663,37,27.800597
-20.440826,52,27.830901
35.014521,43,27.858545
34.799874,43,27.885616
35.610969,40,27.90944
-21.536514,52,27.938732
-15.522488,35,27.960582
-13.684334,36,27.982993
-15.349259,37,28.00556
34.396627,45,28.0346
32.789814,47,28.063521
-17.092061,34,28.084358
-22.762051,44,28.110073
36.360417,43,28.13513
-25.787625,53,28.164915
-22.505492,52,28.763908
-19.678639,52,28.793376
33.860581,45,28.818952
-20.803749,54,28.848682
-24.478641,60,28.881362
-15.098859,39,28.908677
33.696548,47,28.939862
-23.218839,53,28.970026
35.256051,43,28.994066
34.423343,43,29.019801
35.736963,42,29.046297
36.829988,38,29.070089
33.626751,47,29.097957
-18.840295,36,29.119739
35.286869,43,29.144469
35.281886,41,29.168467
-16.437518,35,29.18966
-23.161309,55,29.220253
-26.269734,59,29.252122
-22.598603,53,29.281752
-18.941861,47,29.308972
-26.552592,61,29.342652
35.599184,42,29.367365
-18.652603,35,29.38762
-19.4345,55,29.417478
37.52859,37,29.441447
-18.813916,38,29.464831
-16.162102,38,29.493167
31.566648,53,29.527233
-18.348178,35,29.549858
-17.021198,46,29.577149
36.910747,40,29.602042
33.618507,46,29.629598
31.180766,51,29.659242
-19.418214,33,29.68046
35.317879,46,29.707566
-20.15793,35,29.728723
29.952954,54,29.758806
-17.247849,49,29.786635
35.895415,44,29.813017
-26.061336,60,29.851286
36.17321,40,29.878399
-22.059091,39,29.903071
37.725928,38,29.926867
-18.53086,46,29.956649
35.049272,41,30.588068
-13.719299,38,30.612145
-22.907743,52,30.642456
-17.645466,42,30.668282
37.980172,34,30.690548
37.683319,34,30.712565
35.650931,42,30.750193
-19.045537,42,30.7793
33.499659,51,30.811384
35.154317,42,30.838176
-23.034173,54,30.870495
34.937533,40,30.895388
-22.400585,57,30.928725
37.586038,34,30.951617
-24.724741,59,30.985657
37.612347,34,31.007021
-22.33354,47,31.03611
-16.194131,36,31.058127
-19.719908,49,31.086267
-23.756315,69,31.124018
-25.503655,57,31.15669
-17.626952,35,31.178719
-21.551269,49,31.207459
-13.467086,33,31.228388
-23.779991,60,31.260802
-27.30994,61,31.29502
-23.671253,57,31.330223
-17.467228,45,31.361399
-24.656022,57,31.395271
-14.122124,33,31.416515
-23.457477,54,31.447458
-14.967841,37,31.470323
38.155113,34,31.491994
37.974687,33,31.512489
-18.967038,53,31.545393
-25.722028,69,31.583959
-14.286723,37,31.606652
-23.445633,56,31.638054
35.337347,43,31.664591
-17.666946,44,31.691889
-21.19815,58,31.725414
37.488375,35,31.747879
36.691269,37,31.770579
35.402365,42,31.79621
-15.36812,34,31.81768
-16.236601,42,32.419308
-20.908985,46,32.44629
37.374874,36,32.46892
-19.642212,48,32.4969
36.730324,38,32.525775
-14.710433,33,32.552235
36.606658,36,32.576383
-19.720181,51,32.605535
36.732198,35,32.627389
36.003317,39,32.651233
37.999772,36,32.673564
39.484322,30,32.693372
-19.9935,46,32.719174
-14.430661,37,32.741529
-23.460278,61,32.773979
33.932167,48,32.801074
35.534132,39,32.823877
-20.747295,55,32.853656
-19.506641,45,32.878875
39.0134,30,32.897856
-16.618652,34,32.918712
-26.685745,57,32.950492
-19.41232,48,32.977861
-12.52111,32,32.99833
-14.324955,36,33.021981
-23.75676,57,33.054943
-16.12288,40,33.078441
35.73774,41,33.10266
-21.807803,54,33.138926
38.393867,34,33.162769
37.532789,37,33.186507
-14.27581,36,33.208739
-23.116514,60,33.243086
-20.082073,43,33.268926
32.684858,50,33.297379
-23.229464,58,33.329023
-24.2267,58,33.360663
